state,price,condition,cylinders,fuel,manufacturer,drive,year,title_status,odometer,paint_color,lat,long,lat_clean,long_clean,cluster_gmm_auto_input
fl,36990,good,6 cylinders,gas,ford,4wd,2017,clean,38094.0,white,284.0,-81.96,27.766279,-81.686783,9
il,27995,good,8 cylinders,gas,chevrolet,rwd,2006,clean,,black,42.4778,-92.3661,40.349457,-88.986137,6
ar,78423,,8 cylinders,gas,chevrolet,rwd,2015,clean,30200.0,,38.4018,-93.785,34.969704,-92.373123,5
oh,14000,,,gas,bmw,,2013,clean,92965.0,,40.3203,-80.625,40.388783,-82.764915,1
ia,2744,excellent,6 cylinders,gas,chrysler,fwd,2002,clean,229031.0,blue,42.457439,-92.332855,42.011539,-93.210526,0
tn,15293,excellent,4 cylinders,gas,mitsubishi,fwd,2015,clean,36646.0,white,35.172002,-89.943849,35.747845,-86.692345,4
ny,4500,good,4 cylinders,gas,hyundai,fwd,2008,clean,111000.0,silver,42.805226,-73.919522,42.165726,-74.948051,4
nc,22991,,4 cylinders,gas,ford,rwd,2016,clean,79631.0,custom,42.2008,-79.8332,35.630066,-79.806419,6
oh,41995,,,gas,chevrolet,,2015,clean,158039.0,white,40.85882,-81.57895,40.388783,-82.764915,9
wi,10950,,8 cylinders,gas,ford,4wd,2010,clean,150900.0,red,44.405015,-88.811252,44.268543,-89.616508,7
ca,11995,,,other,gmc,fwd,2007,clean,192493.0,black,3409929.0,-117.43115,36.116203,-119.681564,13
tn,16990,,6 cylinders,gas,ford,rwd,2013,clean,137000.0,green,35.899996,-83.817446,35.747845,-86.692345,10
tx,85900,excellent,8 cylinders,gas,mercedes-benz,rwd,2016,clean,11600.0,grey,29.8052,-95.5607,31.054487,-97.563461,5
fl,37590,good,,other,porsche,,2015,clean,61163.0,white,26.14,-81.79,27.766279,-81.686783,9
hi,23000,like new,6 cylinders,gas,ford,4wd,2017,clean,31500.0,black,20.7441,-156.4475,21.094318,-157.498337,8
pa,13995,,,gas,ford,,2013,clean,156190.0,silver,41.8018,-8148149.0,40.590752,-77.209755,1
co,17995,,6 cylinders,gas,infiniti,4wd,2014,clean,106267.0,white,40.392756,-104.727851,39.059811,-105.311104,1
ca,35590,good,,other,gmc,4wd,2018,clean,19458.0,black,36.6,-121.88,36.116203,-119.681564,9
pa,7999,good,6 cylinders,gas,ford,4wd,2009,clean,89000.0,black,39.8219,-75.7687,40.590752,-77.209755,1
ar,24900,,,other,gmc,4wd,2013,clean,127295.0,white,34.97774,-91.52195,34.969704,-92.373123,9
ny,16990,good,,gas,volkswagen,fwd,2017,clean,46260.0,blue,42.88,-78.85,42.165726,-74.948051,10
